timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-10-01,116.66,116.83,116.12,116.15,111.7455,22442400,0.2609,1.0
2018-10-02,116.67,117.13,116.6,116.86,112.4286,8266900,0.0,1.0
2018-10-03,116.27,116.36,114.24,114.83,110.4756,20829200,0.0,1.0
2018-10-04,114.13,114.39,113.71,114.02,109.6963,16207600,0.0,1.0
2018-10-05,113.39,113.72,112.62,113.04,108.7535,18096500,0.0,1.0
2018-10-08,112.99,113.11,112.64,112.66,108.3879,5855900,0.0,1.0
2018-10-09,113.14,113.85,113.07,113.8,109.4847,11530900,0.0,1.0
2018-10-10,113.14,113.58,112.79,113.49,109.1864,15290100,0.0,1.0
2018-10-11,114.0,115.15,113.79,114.87,110.5141,16087000,0.0,1.0
2018-10-12,114.39,115.01,114.28,114.47,110.1292,6794100,0.0,1.0
2018-10-15,114.66,114.82,114.29,114.42,110.0811,7146300,0.0,1.0
2018-10-16,114.39,114.72,114.16,114.68,110.3313,4762300,0.0,1.0
2018-10-17,114.66,114.79,113.98,114.0,109.6771,5880700,0.0,1.0
2018-10-18,113.62,114.39,113.55,113.96,109.6386,5728800,0.0,1.0
2018-10-19,113.85,113.95,113.41,113.71,109.3981,10892400,0.0,1.0
2018-10-22,113.95,114.08,113.53,113.56,109.2538,3244200,0.0,1.0
2018-10-23,114.76,115.02,113.84,113.92,109.6001,10330700,0.0,1.0
2018-10-24,114.36,114.82,114.24,114.78,110.4275,16008000,0.0,1.0
2018-10-25,114.54,114.74,114.23,114.3,109.9657,12613500,0.0,1.0
2018-10-26,114.93,115.32,114.79,114.99,110.6295,18582500,0.0,1.0
2018-10-29,114.84,115.02,114.26,114.73,110.3794,7679900,0.0,1.0
2018-10-30,114.26,114.54,114.02,114.16,109.831,9939600,0.0,1.0
2018-10-31,113.74,113.96,113.21,113.58,109.273,8706600,0.0,1.0
2018-11-01,112.85,113.56,112.84,113.41,109.3737,6100300,0.2747,1.0
2018-11-02,113.17,113.26,111.9,112.0,108.0139,11315100,0.0,1.0
2018-11-05,112.48,112.71,112.35,112.44,108.4382,4760200,0.0,1.0
2018-11-06,112.6,112.73,112.33,112.37,108.3707,3159900,0.0,1.0
2018-11-07,113.19,113.4,112.41,112.52,108.5154,9313300,0.0,1.0
2018-11-08,112.96,112.97,112.41,112.51,108.5058,6905200,0.0,1.0
2018-11-09,112.75,113.5,112.72,113.35,109.3159,6465300,0.0,1.0
2018-11-12,113.95,114.31,113.91,114.09,110.0295,6840300,0.0,1.0
2018-11-13,113.71,114.02,113.48,114.02,109.962,6525800,0.0,1.0
2018-11-14,113.48,114.52,113.3,114.09,110.0295,8690800,0.0,1.0
2018-11-15,114.44,114.54,113.68,114.04,109.9813,7879800,0.0,1.0
2018-11-16,114.2,114.81,113.92,114.7,110.6178,9236800,0.0,1.0
2018-11-19,114.41,115.02,114.41,115.02,110.9264,7027200,0.0,1.0
2018-11-20,115.24,115.46,114.93,115.06,110.965,6332800,0.0,1.0
2018-11-21,114.89,115.09,114.54,115.02,110.9264,4951100,0.0,1.0
2018-11-23,115.67,115.76,115.09,115.14,111.0422,3027900,0.0,1.0
2018-11-26,114.86,115.06,114.78,114.88,110.7914,6599000,0.0,1.0
2018-11-27,114.81,115.25,114.76,115.01,110.9168,5967200,0.0,1.0
2018-11-28,114.85,115.02,114.36,114.45,110.3767,7814300,0.0,1.0
2018-11-29,114.92,115.25,114.59,114.9,110.8107,7295600,0.0,1.0
2018-11-30,115.31,115.42,114.98,115.33,111.2254,9126700,0.0,1.0
2018-12-03,114.68,115.88,114.66,115.88,112.0132,9763900,0.2668,1.0
2018-12-04,116.81,118.67,116.63,117.82,113.8884,18100500,0.0,1.0
2018-12-06,118.54,119.2,118.13,118.19,114.2461,15319400,0.0,1.0
2018-12-07,117.81,118.53,117.52,118.41,114.4587,8608500,0.0,1.0
